,AD1 N:03_0_R EXCH Curncy,RX1 N:03_0_R EXCH Comdty,BO1 N:03_0_R EXCH Comdty,BP1 N:03_0_R EXCH Curncy,DU1 N:03_0_R EXCH Comdty,CC1 N:03_0_R EXCH Comdty,CD1 N:03_0_R EXCH Curncy,CF1 N:03_0_R EXCH Index,CL1 N:03_0_R EXCH Comdty,C 1 N:03_0_R EXCH Comdty,CO1 N:03_0_R EXCH Comdty,CT1 N:03_0_R EXCH Comdty,GX1 N:03_0_R EXCH Index,ED1 N:03_0_R EXCH Comdty,MES1 N:03_0_R EXCH Index,EO1 N:03_0_R EXCH Index,ES1 N:03_0_R EXCH Index,FC1 N:03_0_R EXCH Comdty,Z 1 N:03_0_R EXCH Index,FV1 N:03_0_R EXCH Comdty,GC1 N:03_0_R EXCH Comdty,G 1 N:03_0_R EXCH Comdty,QS1 N:03_0_R EXCH Comdty,HG1 N:03_0_R EXCH Comdty,HO1 N:03_0_R EXCH Comdty,JO1 N:03_0_R EXCH Comdty,KC1 N:03_0_R EXCH Comdty,LC1 N:03_0_R EXCH Comdty,LH1 N:03_0_R EXCH Comdty,PE1 N:03_0_R EXCH Curncy,FA1 N:03_0_R EXCH Index,NG1 N:03_0_R EXCH Comdty,NX1 N:03_0_R EXCH Index,NV1 N:03_0_R EXCH Curncy,O 1 N:03_0_R EXCH Comdty,PA1 N:03_0_R EXCH Comdty,PL1 N:03_0_R EXCH Comdty,EO1 N:03_0_R EXCH Comdty,EC1 N:03_0_R EXCH Comdty,RP1 N:03_0_R EXCH Curncy,SB1 N:03_0_R EXCH Comdty,SM1 N:03_0_R EXCH Comdty,SP1 N:03_0_R EXCH Index,SI1 N:03_0_R EXCH Comdty,S 1 N:03_0_R EXCH Comdty,ER1 N:03_0_R EXCH Comdty,VH1 N:03_0_R EXCH Index,W 1 N:03_0_R EXCH Comdty,VG1 N:03_0_R EXCH Index
1990-01-02,42.46,,90.37,111.15,,10317.0,74.948,2279.8,45.35,4236.8125,11.48,364.88,,83.4497,,124.82,,41.345,3233.9,54.484375,926.69,49.48,97.25,94.62,,653.57,1529.4,77.874,70.945,,,,,,1615.0625,219.68,487.44,,,,9.24,33.72,509.79,14.022,467.875,,,10705.6875,
1990-01-03,42.31,,91.33,111.53,,10128.0,75.009,2278.7,46.92,4250.1875,12.14,368.94,,83.3953,,126.55,,41.235,3279.6,54.375,913.55,49.24,100.39,97.7,,660.48,1552.0,77.573,71.273,,,,,,1633.75,218.14,483.29,,,,10.09,33.85,508.67,13.934,472.5625,,,10738.4375,
1990-01-04,42.72,,90.56,113.41,,10439.0,74.913,2298.2,46.38,4245.75,12.04,359.59,,83.4316,,125.06,,41.272,3266.5,54.390625,923.69,49.38,101.04,96.72,,656.44,1565.86,77.372,73.568,,,,,,1609.6875,220.57,499.77,,,,10.05,33.76,506.07,14.241,468.5,,,10718.75,
1990-01-05,42.44,,91.13,113.53,,10539.0,75.0,2289.0,45.73,4236.8125,12.32,354.04,,83.477,,123.16,,41.284,3253.5,54.3828125,941.44,49.21,98.0,97.56,,689.65,1540.8,77.296,74.369,,,,,,1620.375,221.62,505.23,,,,10.05,33.72,498.69,14.374,468.875,,,10731.875,
1990-01-08,42.56,,94.06,114.71,,10439.0,74.991,2264.8,42.84,4259.125,11.69,354.52,,83.477,,122.75,,41.333,3239.1,54.359375,933.37,48.79,90.32,99.21,34.02,708.99,1544.97,77.095,75.134,,,,,,1609.6875,221.46,497.55,,,,9.97,33.78,502.83,14.174,474.1875,,,10738.4375,
1990-01-09,42.61,,94.01,114.86,,10628.0,74.991,2268.9,43.73,4254.625,11.44,355.75,,83.486,,124.4,,41.321,3252.2,54.3359375,936.14,48.46,82.3,98.19,34.4,728.32,1572.69,76.894,74.806,,,,,,1596.375,221.7,502.8,,,,10.17,33.68,495.31,14.142,473.5625,,,10653.3125,
1990-01-10,42.77,,93.58,115.39,,10739.0,75.149,2268.3,45.37,4241.25,11.42,349.61,,83.5042,,123.78,,41.138,3214.3,54.3125,954.57,48.32,82.3,96.32,35.36,728.51,1567.56,77.548,74.369,,,,,,1548.3125,222.92,510.89,,,,10.31,33.52,494.04,14.329,471.125,,,10620.5625,
1990-01-11,42.99,,93.82,115.13,,11172.0,75.246,2292.5,45.85,4250.1875,12.03,355.86,,83.4951,,124.11,,41.186,3214.3,54.3046875,957.8,48.32,,97.3,36.65,726.0,1549.15,77.95,74.806,,,,,,1532.3125,222.19,509.07,,,,10.3,33.67,494.82,14.321,472.9375,,,10600.875,
1990-01-12,43.03,,92.91,115.52,,10961.0,75.246,2256.8,45.83,4317.0,11.9,353.19,,83.5133,,120.15,,40.93,3146.3,54.234375,955.73,48.44,,94.36,36.83,745.33,1500.55,77.623,73.859,,,,,,1526.9375,223.89,513.01,,,,10.33,33.42,479.49,14.382,469.5,,,10515.8125,
1990-01-15,42.96,,93.0,115.35,,10850.0,74.755,2256.8,44.3,4343.75,11.59,353.56,,83.4497,,119.74,,40.686,3132.0,54.1015625,956.65,47.92,76.62,92.66,34.16,750.75,1472.45,77.698,73.349,,,,,,1532.3125,225.18,511.6,,,,10.39,33.08,477.03,14.142,467.875,,,10463.375,
